CASE,QUESTNNR,AA07_01,DD10_01,DD10_02,DD10_03,Resilienz,DD11_01,DD11_02,DD11_03,KenntnisVT,DD02_02,DD12_01,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01,TIME001
285,U1,Detlefsengymnasium,,3,4,3.5,1,1,1,1,,3,4,3,,2,16,0,
177,U1,FPS,1,4,4,3,2,2,2,2,4,3,3,3,1,1,17,0,
235,U1,Detlefsengymnasium,4,3,3,3.333333333,1,3,2,2,2,4,4,3,3,1,17,0,
112,U1,FPS,4,4,4,4,2,2,2,2,4,2,4,4,,1,16,0,
231,U1,Detlefsengymnasium,,,,,1,3,3,2.333333333,4,3,4,4,2,1,17,0,
290,U1,Detlefsengymnasium,3,2,3,2.666666667,2,2,2,2,4,4,5,5,3,1,17,0,
243,U1,Detlefsengymnasium,3,4,4,3.666666667,2,3,2,2.333333333,3,4,4,3,2,1,17,0,
186,U1,FPS,4,3,3,3.333333333,2,3,,2.5,3,3,4,4,,1,17,0,
241,U1,Detlefsengymnasium,3,4,2,3,1,1,2,1.333333333,2,3,1,2,3,2,17,0,
194,U1,FPS,,4,4,4,1,2,1,1.333333333,4,4,,,4,1,16,0,
114,U1,FPS,2,3,3,2.666666667,1,3,2,2,3,4,4,5,1,2,17,0,
109,U1,FPS,4,4,4,4,3,2,3,2.666666667,2,3,5,3,3,2,17,0,
170,U1,FPS,5,4,4,4.333333333,1,2,1,1.333333333,3,5,4,4,3,2,16,0,
248,U1,Detlefsengymnasium ,,,,,3,2,1,2,4,3,3,3,3,1,18,0,
117,U1,FPS,,2,,2,2,3,2,2.333333333,3,3,,3,,2,17,0,
188,U1,FPS,3,3,,3,,2,1,1.5,,3,5,,,2,16,0,
289,U1,Detlefsengymnasium,2,,3,2.5,2,2,1,1.666666667,,3,4,,2,1,16,0,
291,U1,Detlefsengymnasium,3,4,4,3.666666667,3,2,2,2.333333333,4,3,4,3,3,2,17,0,
187,U1,FPS,4,4,4,4,1,4,2,2.333333333,3,4,5,5,3,1,17,0,
247,U1,Detlefsengymnasium,4,4,4,4,1,2,2,1.666666667,2,3,2,3,4,2,17,0,
122,U1,FPS,3,2,4,3,2,2,3,2.333333333,4,3,4,2,,1,16,0,
178,U1,FPS,3,4,3,3.333333333,2,4,4,3.333333333,4,4,5,5,2,2,17,0,
113,U1,FPS,3,2,,2.5,1,2,3,2,5,3,4,5,3,1,17,0,
293,U1,Detlefsengymnasium,,2,2,2,1,2,2,1.666666667,4,4,4,4,2,1,17,0,
299,U1,Detlefsengymnasium,2,2,3,2.333333333,2,2,2,2,4,3,2,5,,1,17,0,
294,U1,Detlefsengymnasium,3,4,3,3.333333333,4,5,4,4.333333333,3,3,4,3,3,2,16,0,
230,U1,Detlefsengymnasium,4,4,5,4.333333333,2,4,2,2.666666667,4,3,5,4,2,2,17,0,
242,U1,Detlefsengymnasium,,4,4,4,2,2,1,1.666666667,4,3,,3,,2,17,0,
190,U1,FPS,2,4,4,3.333333333,2,3,3,2.666666667,3,4,5,3,2,1,17,0,
240,U1,Detlefsengymnasium,4,4,5,4.333333333,2,4,2,2.666666667,5,3,5,5,2,2,17,0,
