CASE,QUESTNNR,AA07_01,DD10_01,DD10_02,DD10_03,Resilienz,DD11_01,DD11_02,DD11_03,KenntnisVT,DD02_02,DD12_01,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01,TIME001
501,SE,GymB,4,4,4,4,2,2,2,2, ,4,5,4, ,2,17,3,89
509,SE,GymB, ,5,5,5, ,4,1,2.5,5,4,5,5,1,2,17,1,
515,SE,GymB, ,4,3,3.5,2,3,2,2.333333333,2,3,4,3,3,2,17,2,63
517,SE,GymB,2,4, ,3,1,1,1,1,3,3,4,4, ,1,16,2,233
519,SE,GymB, ,5,4,4.5,2,2,1,1.666666667,2,3,3,4,2,2,17,3,62
521,SE,GymB,4, ,3,3.5,3,3,2,2.666666667,3,4,4, ,2,2,17,2,68
525,SE,GymB,3,4,4,3.666666667,2,3,2,2.333333333,4,4,4,4,2,1,17,2,181
527,SE,GymB,2,3,4,3,2,3,3,2.666666667,3,4,3,3,2,1,17,2,141
530,SE,GymB,3,3, ,3,2,1,2,1.666666667,5,3,4,5,1,1,19,2,10
531,SE,GymB,2,4,4,3.333333333,2,3,3,2.666666667,4,4,4,4,2,1,17,2,94
532,SE,GymB, ,3, ,3,1,2,1,1.333333333,3,2,4,4,2,1,16,3,83
533,SE,GymB,4,4,4,4,2,3,4,3,4,4,4,4,2,2,16,2,163
535,SE,GymB,2,4,4,3.333333333,2,4,3,3,5,4,4,5,2,2,17,2,126
536,SE,GymB, ,2,3,2.5,2,2,3,2.333333333,3,4,5,4,2,1,17,3,237
538,SE,GymB,5,4,5,4.666666667,2,4,4,3.333333333,2,3,2,2,3,1,17,2,108
539,SE,GymB,3,2,2,2.333333333,2,3,3,2.666666667,2,3,4,4, ,2,17,3,173
540,SE,GymB, , , ,,2,2,2,2,3,3, , , ,-9,,2,107
543,SE,GymB,3,2,3,2.666666667,2,4,2,2.666666667,4,3,4,4,3,2,17,3,180
545,SE,GymB,3,4,3,3.333333333,1,2,2,1.666666667,3,3,5,4,1,1,17,2,96
558,SE,OzD,3,3,2,2.666666667,2,3,2,2.333333333,3,4,4,4, ,2,15,3,64
560,SE,OzD,4,5,5,4.666666667,2,3,3,2.666666667,4,4,5, ,4,1,16,2,140
563,SE,OzD,3,4,5,4,2,3,4,3,5,4,5,5,2,2,16,3,60
